C:\nitrologic\romulon>rpc
rpccoms 0.3.2 looking for "USB\VID_2E8A"
 HWND:722580
[RPC] echoing COM6 handle:0x138 path:USB\VID_2E8A&PID_000A&MI_00\8&D547ADD&0&0000
[RPC] ignoring {port:COM1,path:ACPI\PNP0501\0,info:Communications Port (COM1)}
[thread] starting reader for COM6
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266588}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266589}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266590}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266591}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266592}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266593}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266594}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266595}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266596}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266597}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266598}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266599}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266600}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266601}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266602}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266603}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266604}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266605}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266606}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266607}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266608}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266609}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266610}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266611}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266612}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266613}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266614}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266615}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266616}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266617}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266618}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266619}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266620}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266621}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266622}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266623}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266624}
